"Territory","year","recruitment_female","recruitment_male","breeding_proba","hatching_success","productivity","wind_b2_prebreeding","wind_a7_prebreeding","rainfall_prebredding","min_T_prebreeding","max_T_prebreeding","wind_b2_incubation","wind_a7_incubation","rainfall_incubation","min_T_incubation","max_T_incubation","wind_b2_rearing","wind_a7_rearing","rainfall_rearing","min_T_rearing","max_T_rearing","number_recruitment","fledging_success"
22,2012,1,0,1,1,0,12,5,19.059,-5.51,11.637,7,2,1.4,3.613,13.455,34,1,249.357,7.14,25.693,"F",0
22,2013,0,0,1,1,2,21,2,81.546,-1.906,10.446,8,1,82.549,-2.052,11.281,30,2,340.753,2.772,23.242,"0",1
22,2014,0,0,1,1,2,25,0,263.331,3.773,11.292,14,0,33.826,5.362,11.177,27,2,135.83,6.61,25.698,"0",1
22,2015,0,1,1,1,2,18,3,70.678,-0.166,12.297,8,1,38,4.632,13.598,45,1,217.908,5.616,26.153,"M",1
22,2016,0,0,1,1,2,36,0,108.14,0.913,12.571,8,1,62.27,2.931,10.826,30,2,238.882,5.25,24.247,"0",1
22,2017,0,0,1,1,2,18,1,162.945,-1.786,11.648,10,0,36.477,6.151,13.81,44,0,212.058,7.411,26.551,"0",1
22,2018,0,0,1,1,2,17,0,227.42,1.2,13.349,6,0,129.822,-4.272,12.35,51,2,355.677,4.564,24.287,"0",1
22,2019,0,0,1,1,2,18,3,63.138,1.809,11.548,15,0,15.983,5.989,12.938,42,2,167.921,6.235,31.07,"0",1
22,2020,0,0,1,1,2,25,0,136.58,3.316,14.116,8,0,39.871,5.865,13.646,49,0,227.464,5.665,23.968,"0",1
22,2021,0,0,1,1,1,18,1,139.799,-0.711,11.729,16,0,42.269,4.661,11.02,40,1,198.313,5.287,26.058,"0",1
22,2022,0,0,1,1,0,30,1,53.885,1.384,14.591,11,0,104.411,3.857,13.033,50,0,115.788,3.22,28.754,"0",0
23,2020,1,1,0,0,0,23,0,146.227,3.241,13.623,8,0,46.552,5.332,13.118,46,0,244.736,5.181,23.574,"MF",0
23,2021,0,0,1,1,1,16,1,149.973,-1.109,11.424,12,0,46.141,4.441,10.758,36,0,203.728,4.842,25.581,"0",1
23,2022,0,1,1,1,0,30,1,60.917,1.123,14.162,10,0,114.357,3.6,12.554,46,1,128.469,2.54,28.559,"M",0
24,2009,0,1,0,0,0,19,0,240.044,-3.034,8.614,5,1,22.289,0.631,11.605,37,0,262.905,5.795,26.043,"M",0
24,2010,0,0,0,0,0,22,0,181.119,-3.888,10.42,7,0,102.61,-1.978,9.22,43,1,258.71,6.196,24.23,"0",0
24,2011,0,0,1,1,1,22,2,141.86,-2.405,10.675,8,0,139.157,4.237,10.242,45,0,164.137,7.508,24.069,"0",1
24,2012,0,0,1,0,0,11,4,33.938,-6.259,10.902,7,1,2.311,2.75,12.935,35,1,277.738,6.292,25.236,"0",0
24,2013,1,0,1,1,1,16,1,93.005,-2.924,10.167,11,1,87.961,-3.021,10.599,31,1,361.245,1.967,22.364,"F",1
24,2014,0,0,1,1,2,21,0,250.36,3.176,10.406,12,0,36.178,4.744,10.781,25,0,158.286,5.692,24.877,"0",1
24,2015,0,1,1,0,0,19,3,71.217,-0.91,11.708,9,1,37.682,3.779,13.169,44,0,221.368,4.812,25.676,"M",0
24,2016,0,0,1,1,2,31,0,126.337,0.443,11.838,6,1,68.744,2.126,10.65,29,2,269.646,4.753,23.518,"0",1
24,2017,0,0,1,1,1,19,2,188.453,-2.667,10.727,10,0,45.745,5.729,12.96,41,0,221.968,6.568,25.507,"0",1
24,2018,0,0,1,1,2,13,1,242.101,0.266,12.782,5,0,134.759,-4.839,11.895,48,1,381.691,3.706,23.809,"0",1
24,2019,0,0,1,1,2,19,2,69.581,0.938,11.319,14,0,19.535,5.787,12.364,36,2,186.647,5.3,30.156,"0",1
24,2020,0,0,1,1,1,22,0,151.411,3.059,13.448,8,0,50.441,5.063,12.838,44,0,252.908,4.862,23.374,"0",1
24,2021,0,0,1,1,2,14,0,156.543,-1.408,11.386,10,0,49.366,4.358,10.656,35,0,206.06,4.613,25.324,"0",1
24,2022,0,0,1,1,1,29,1,65.94,0.964,14.001,11,0,122.616,3.499,12.35,42,1,136.506,2.176,28.44,"0",1
25,2009,0,0,1,1,1,19,0,240.044,-3.034,8.614,5,1,22.289,0.631,11.605,37,0,262.905,5.795,26.043,"0",1
25,2010,0,0,1,1,2,22,0,181.119,-3.888,10.42,7,0,102.61,-1.978,9.22,43,1,258.71,6.196,24.23,"0",1
25,2011,0,0,1,0,0,22,2,141.86,-2.405,10.675,8,0,139.157,4.237,10.242,45,0,164.137,7.508,24.069,"0",0
25,2012,0,1,1,0,0,11,4,33.938,-6.259,10.902,7,1,2.311,2.75,12.935,35,1,277.738,6.292,25.236,"M",0
25,2013,0,0,1,1,1,16,1,93.005,-2.924,10.167,11,1,87.961,-3.021,10.599,31,1,361.245,1.967,22.364,"0",1
25,2014,0,0,0,0,0,21,0,250.36,3.176,10.406,12,0,36.178,4.744,10.781,25,0,158.286,5.692,24.877,"0",0
25,2015,0,0,1,1,2,19,3,71.217,-0.91,11.708,9,1,37.682,3.779,13.169,44,0,221.368,4.812,25.676,"0",1
25,2016,0,1,0,0,0,31,0,126.337,0.443,11.838,6,1,68.744,2.126,10.65,29,2,269.646,4.753,23.518,"M",0
25,2017,1,0,0,0,0,19,2,188.453,-2.667,10.727,10,0,45.745,5.729,12.96,41,0,221.968,6.568,25.507,"F",0
25,2018,0,0,0,0,0,13,1,242.101,0.266,12.782,5,0,134.759,-4.839,11.895,48,1,381.691,3.706,23.809,"0",0
25,2019,0,0,0,0,0,19,2,69.581,0.938,11.319,14,0,19.535,5.787,12.364,36,2,186.647,5.3,30.156,"0",0
25,2020,0,0,1,0,0,22,0,151.411,3.059,13.448,8,0,50.441,5.063,12.838,44,0,252.908,4.862,23.374,"0",0
25,2021,0,1,0,0,0,14,0,156.543,-1.408,11.386,10,0,49.366,4.358,10.656,35,0,206.06,4.613,25.324,"M",0
25,2022,0,0,0,0,0,29,1,65.94,0.964,14.001,11,0,122.616,3.499,12.35,42,1,136.506,2.176,28.44,"0",0
26,2009,0,0,1,1,2,18,1,235.859,-3.354,8.789,7,1,20.85,0.549,12.266,27,0,263.09,5.85,26.302,"0",1
26,2010,0,0,1,1,2,18,2,175.046,-4.019,9.995,7,0,97.098,-2.091,9.249,34,2,244.595,5.72,24.035,"0",1
26,2012,0,0,1,1,2,9,6,51.187,-6.527,10.72,7,2,3.774,2.417,12.621,33,3,283.456,5.85,25.128,"0",1
26,2013,0,0,1,1,2,13,2,108.561,-3.079,10.83,10,3,103.817,-3.315,10.631,24,1,363.254,1.993,21.448,"0",1
26,2014,0,0,1,1,2,16,1,189.61,3.011,10.01,8,0,38.543,4.869,10.829,20,1,179.767,5.339,24.815,"0",1
26,2015,0,0,1,1,1,17,3,69.074,-1.287,11.662,8,2,38.61,3.727,13.34,38,3,222.599,4.258,25.665,"0",1
26,2016,0,0,1,1,2,24,0,130.74,0.54,11.706,3,4,76.91,1.823,10.657,21,2,280.698,4.649,22.98,"0",1
26,2017,0,0,1,1,1,17,3,235.226,-3.064,10.351,9,1,55.89,5.849,12.637,36,0,204.441,6.465,25.419,"0",1
26,2018,0,0,1,0,0,13,5,252.48,-0.242,13.056,5,0,137.13,-4.446,11.934,42,1,395.399,3.387,23.752,"0",0
26,2019,0,1,1,0,0,14,3,73.763,0.872,11.673,14,1,18.209,5.815,12.052,31,1,186.911,5.01,29.096,"M",0
26,2020,0,0,0,0,0,15,3,156.82,2.692,13.522,5,0,57.634,4.907,12.496,38,0,275.375,4.306,23.27,"0",0
26,2021,0,0,1,1,1,13,2,158.935,-1.785,11.891,6,0,63.586,4.873,10.919,30,0,190.219,4.434,25.37,"0",1
26,2022,0,0,0,0,0,28,2,76.967,0.524,14.122,7,1,155.503,3.758,12.209,34,2,157.208,1.779,28.226,"0",0
27,2010,1,1,1,1,1,15,3,153,-4.285,9.679,7,0,73.238,-2.002,9.55,31,2,241.539,4.722,23.98,"MF",1
27,2012,0,0,1,1,2,9,8,75.932,-7.027,10.581,7,1,9.063,2.149,12.517,28,2,276.757,5.122,25.139,"0",1
27,2013,0,0,1,1,2,11,2,134.845,-2.513,11.609,8,3,98.932,-3.2,11.056,16,1,342.761,2.087,21.32,"0",1
27,2014,0,0,1,1,2,18,1,162.232,3.082,10.352,7,0,47.067,4.967,11.025,18,1,208.124,5.057,24.841,"0",1
27,2015,0,0,1,0,0,15,4,86.418,-1.58,11.235,4,3,58.348,3.494,13.315,33,6,226.95,3.956,25.374,"0",0
27,2016,0,0,1,1,2,21,0,137.789,1.282,11.731,2,3,80.825,1.703,10.401,21,3,263.556,4.485,22.371,"0",1
27,2017,0,0,1,1,1,16,4,227.698,-3.373,10.637,9,1,66.818,5.66,12.347,37,0,194.586,6.298,25.324,"0",1
27,2018,0,0,1,1,2,14,5,239.848,-0.683,13.404,5,1,108.096,-3.903,12.041,41,1,385.658,2.743,23.759,"0",1
27,2019,0,0,1,1,1,14,4,91.049,0.849,11.902,12,1,14.762,6.32,11.967,29,1,186.098,5.227,27.83,"0",1
27,2020,0,0,1,1,1,19,3,156.194,2.37,13.662,5,0,72.486,4.985,11.919,33,0,297.071,3.831,23.092,"0",1
27,2021,0,0,1,1,2,17,5,163.701,-1.667,12.18,7,1,59.848,5.874,11.632,24,0,167.338,4.013,25.449,"0",1
27,2022,0,0,1,1,0,27,2,92.225,0.015,13.951,5,1,141.77,4.49,11.929,34,2,165.579,1.624,28.174,"0",0
28,2014,0,0,1,1,1,20,1,124.73,3.66,11.049,6,1,38.466,5.436,11.577,17,3,188.8,5.748,25.519,"0",1
28,2016,0,0,1,0,0,25,0,108.935,1.577,12.353,2,4,76.894,2.53,10.766,21,3,240.691,4.909,22.822,"0",0
28,2017,0,0,1,1,1,17,3,235.233,-2.439,11.062,8,1,59.208,6.271,13.48,36,0,176.51,6.936,25.24,"0",1
28,2018,0,0,1,1,2,14,5,218.301,-0.135,14.387,5,0,107.03,-3.168,12.194,38,5,369.054,3.36,24.208,"0",1
28,2019,0,0,1,1,2,14,6,74.307,1.613,12.369,13,1,10.624,6.466,12.635,30,1,168.413,5.809,28.696,"0",1
28,2020,0,0,1,0,0,20,2,155.784,2.983,14.871,5,0,60.295,5.502,12.62,35,0,310.472,4.08,23.52,"0",0
28,2021,0,0,1,1,1,16,6,127.095,-1.254,12.757,7,0,65.051,6.207,11.995,23,2,141.521,4.577,26.021,"0",1
28,2022,0,0,0,0,0,27,3,79.017,0.6,14.726,5,1,148.549,4.79,12.604,33,2,158.232,2.372,28.397,"0",0
29,2009,0,0,1,1,1,23,2,176.046,-3.028,8.985,8,1,17.685,1.274,13.275,37,0,235.2,6.055,25.883,"0",1
29,2010,0,0,1,1,2,19,3,111.674,-3.876,9.94,7,0,64.162,-1.946,9.902,35,2,214.023,3.93,24.042,"0",1
29,2013,0,0,1,1,1,13,3,98.645,-0.331,12.242,11,4,120.277,-2.723,11.495,22,1,275.227,2.471,21.467,"0",1
29,2014,0,0,1,1,0,22,1,107.177,3.478,10.925,7,1,35.182,4.993,11.148,19,2,188.599,5.25,24.688,"0",0
29,2015,0,0,1,0,0,16,4,66.065,-1.357,12.17,6,1,46.166,3.651,13.427,37,4,217.281,3.708,25.282,"0",0
29,2016,1,0,0,0,0,30,0,86.873,1.714,12.177,4,3,62.366,2.324,10.76,24,2,214.797,4.358,22.204,"F",0
29,2017,0,0,0,0,0,19,4,190.862,-2.717,10.82,11,0,52.325,5.709,13.55,40,0,180.923,6.119,24.732,"0",0
29,2018,0,0,1,1,1,14,4,178.761,-0.834,14.271,6,0,83.478,-3.258,11.721,41,2,340.342,2.692,23.604,"0",1
29,2019,0,0,1,1,1,17,4,66.776,1.181,12.098,13,1,7.511,6.503,12.383,31,1,169.566,5.418,28.311,"0",1
29,2020,0,0,1,1,1,24,1,153.415,2.308,14.864,5,0,52.815,5.2,12.372,41,0,329.499,3.312,22.886,"0",1
29,2021,0,0,0,0,0,16,2,98.983,-1.557,12.5,8,0,49.571,6.407,11.821,26,2,129.975,3.857,25.536,"0",0
29,2022,0,0,0,0,0,30,2,71.412,0.779,14.357,6,1,109.941,4.638,12.207,40,2,155.155,1.901,28.027,"0",0
3,2009,0,0,1,1,2,32,0,154.921,-0.276,9.549,14,1,23.426,0.511,11.362,68,1,223.464,4.403,24.386,"0",1
3,2010,1,0,1,1,1,25,0,214.208,-3.424,12.348,8,0,82.695,1.071,9.655,63,1,314.161,6.481,23.703,"F",1
3,2011,0,0,1,0,0,38,0,117.264,-2.019,11.408,16,0,70.739,3.804,11.036,69,1,187.132,7.176,24.328,"0",0
3,2012,0,0,1,1,1,23,2,23.092,-4.918,11.322,21,1,1.426,3.575,12.178,50,0,232.552,7.398,26.328,"0",1
3,2013,0,0,1,1,2,24,2,90.567,-1.085,11.226,15,3,57.06,-1.976,10.604,41,1,294.723,2.599,26.491,"0",1
3,2014,0,0,1,1,1,26,1,438.228,3.457,11.09,13,0,52.477,5.122,11.617,56,0,139.262,6.836,24.747,"0",1
3,2015,0,0,1,1,2,28,0,109.876,0.627,13.58,16,1,69.452,5,11.969,58,4,183.661,6.994,24.416,"0",1
3,2016,0,0,1,1,2,43,0,75.578,1.742,13.363,11,0,61.448,4.02,10.77,39,1,120.994,5.827,24.917,"0",1
3,2017,0,0,1,1,2,29,2,82.104,-1.177,12.386,15,0,31.629,5.833,13.789,66,0,168.429,8.076,26.567,"0",1
3,2018,0,0,1,0,0,27,3,123.118,1.078,13.792,11,0,84.876,-2.881,11.752,65,0,303.586,3.602,24.394,"0",0
3,2019,0,0,1,0,0,32,2,77.762,0.324,12.157,15,0,2.617,5.357,12.259,56,1,141.779,6.851,30.381,"0",0
3,2020,0,0,1,0,0,33,0,102.31,3.394,15.883,10,0,38.14,4.826,12.955,69,0,217.89,2.886,24.689,"0",0
3,2021,0,0,1,1,2,25,0,124.901,-0.328,12.348,18,0,7.144,3.911,11.946,65,1,191.412,4.205,24.567,"0",1
3,2022,0,0,1,1,2,41,0,72.689,1.774,14.503,16,0,6.441,3.705,13.528,72,1,93.326,3.842,26.587,"0",1
31,2009,0,0,0,0,0,25,1,157.962,-3.77,8.374,8,1,16.829,0.859,12.755,42,0,230.532,5.099,24.799,"0",0
31,2011,0,0,0,0,0,25,4,60.567,-3.165,10.498,9,0,115.493,2.635,10.248,35,1,223.671,6.609,22.91,"0",0
31,2012,0,0,0,0,0,11,8,52.186,-6.194,10.141,7,2,8.597,1.958,12.24,36,2,208.086,3.917,24.536,"0",0
31,2013,0,0,0,0,0,13,3,95.453,-0.188,11.694,11,4,105.179,-3.549,10.889,27,1,253.35,1.613,20.697,"0",0
31,2014,0,0,0,0,0,23,0,106.249,2.953,10.341,9,1,33.563,4.099,10.409,25,1,194.52,4.269,23.347,"0",0
31,2015,0,0,0,0,0,16,5,63.804,-2.331,11.627,7,1,48.222,2.644,12.55,37,3,215.559,2.778,24.453,"0",0
31,2016,0,0,0,0,0,36,0,80.488,0.793,11.565,5,2,51.812,1.201,10.33,29,2,197.599,3.572,21.687,"0",0
31,2017,1,0,0,0,0,21,2,146.741,-3.514,10.099,11,0,46.312,4.827,13.169,43,0,187.016,4.914,24.364,"F",0
31,2018,0,0,1,1,1,16,2,157.294,-1.936,13.663,8,0,62.459,-3.736,11.169,46,2,319.316,1.419,22.735,"0",1
31,2019,0,0,1,0,0,17,4,65.045,0.154,11.381,13,0,6.335,6.148,11.707,34,0,173.861,4.628,27.45,"0",0
31,2020,0,0,1,1,1,28,0,149.566,1.368,14.346,7,0,52.651,4.522,12.122,44,0,333.585,2.348,21.986,"0",1
31,2021,0,0,1,0,0,20,1,89.203,-2.326,11.833,9,0,33.92,6.325,11.315,32,0,128.226,2.734,24.604,"0",0
33,2009,0,0,1,1,2,19,0,244.775,-2.811,8.886,7,1,21.39,0.929,12.173,32,0,256.121,6.103,26.498,"0",1
33,2010,0,1,0,0,0,20,0,180.105,-3.5,10.405,7,0,102.128,-1.649,9.594,39,1,240.326,6.341,24.457,"M",0
33,2011,1,0,0,0,0,21,2,134.719,-2.056,10.873,8,0,153.297,4.482,10.643,36,0,170.795,7.717,23.921,"F",0
33,2012,0,0,0,0,0,9,5,37.238,-5.903,11.175,7,1,2.51,2.926,12.898,35,1,266.674,6.635,25.365,"0",0
33,2013,1,0,0,0,0,16,2,97.129,-2.522,10.924,10,1,99.703,-2.762,10.994,27,1,351.388,2.421,21.947,"F",0
33,2014,0,0,1,1,1,20,0,201.608,3.337,10.401,12,0,35.659,5.171,10.985,22,0,163.718,5.919,25.241,"0",1
33,2015,0,0,1,1,2,18,3,65.138,-0.728,12.114,9,1,34.825,4.197,13.556,40,3,218.409,4.752,26.001,"0",1
33,2016,0,0,1,1,2,28,0,118.89,0.724,12.158,5,3,71.497,2.284,10.813,27,2,262.409,5.013,23.581,"0",1
33,2017,0,0,1,1,2,16,3,211.233,-2.479,10.803,9,0,48.921,6.412,13.18,39,0,202.171,6.958,25.758,"0",1
33,2018,1,0,1,0,0,13,4,244.938,0.329,13.399,5,0,138.15,-4.232,12.124,45,2,378.663,3.984,24.035,"F",0
33,2019,0,0,1,1,1,18,3,67.682,1.353,11.809,14,0,16.409,5.943,12.488,33,1,177.558,5.511,29.803,"0",1
33,2020,0,0,1,1,2,18,1,147.478,3.085,13.898,6,0,49.512,5.331,12.971,41,0,255.425,4.838,23.639,"0",1
33,2021,0,1,1,1,2,14,1,147.784,-1.278,12.117,8,0,58.074,4.929,11.06,36,0,187.728,4.921,25.697,"M",1
33,2022,1,0,0,0,0,30,1,66.279,0.812,14.561,9,1,143.59,3.851,12.704,39,2,142.556,2.413,28.474,"F",0
34,2009,0,0,1,1,1,23,1,142.15,-0.473,10.53,7,2,21.896,1.173,11.849,49,2,213.042,5.289,24.795,"0",1
34,2010,0,0,1,1,2,22,0,203.885,-3.149,12.849,6,0,80.001,1.131,10.255,50,4,262.584,7.067,25.013,"0",1
34,2011,0,0,1,1,2,29,2,101.903,-1.635,12.259,12,0,55.609,4.527,11.506,57,1,170.318,7.85,24.363,"0",1
34,2012,0,0,1,0,0,16,2,17.502,-4.901,11.416,14,2,1.066,3.884,13.004,40,2,205.503,7.764,26.877,"0",0
34,2013,0,0,1,1,2,19,4,75.692,-1.073,11.09,12,3,44.224,-1.815,11.489,37,3,260.24,2.966,26.695,"0",1
34,2014,0,0,1,1,2,22,1,369.105,3.93,12.019,13,0,47.468,5.702,12.545,47,1,122.09,7.254,25.444,"0",1
34,2015,0,1,1,1,2,21,0,105.609,0.725,12.917,12,2,62.852,5.194,11.985,59,5,194.339,7.262,25.33,"M",1
34,2016,0,0,1,1,2,42,1,70.036,2.114,13.515,8,0,52.126,4.071,10.532,33,1,114.701,5.832,25.357,"0",1
34,2017,0,0,1,1,2,24,2,77.092,-0.798,13.174,13,0,28.191,6.105,14.144,59,1,170.296,8.182,27.203,"0",1
34,2018,0,0,1,1,2,19,0,129.826,1.495,14.517,7,0,68.028,-2.701,12.687,59,0,274.961,4.271,24.929,"0",1
34,2019,0,0,1,1,1,22,3,70.225,1.144,12.105,15,0,2.854,5.741,12.524,50,2,123.627,7.426,31.263,"0",1
34,2020,0,0,1,1,1,28,0,97.12,3.848,15.197,10,0,31.827,5.117,13.848,61,0,194.648,4.067,25.038,"0",1
34,2021,0,0,1,1,2,21,1,105.916,0.026,12.736,16,0,7.479,4.719,12.419,50,3,170.218,4.944,25.776,"0",1
34,2022,0,0,1,1,2,35,3,64.057,1.29,14.53,15,0,8.885,4.135,13.383,63,3,76.068,4.063,27.597,"0",1
35,2009,0,0,1,1,2,24,0,142.401,-1.124,10.137,5,2,21.824,0.7,11.58,47,1,216.765,5.028,25.032,"0",1
35,2010,0,0,1,1,2,22,0,190.897,-3.789,12.353,6,0,82.128,0.252,9.959,50,4,257.99,6.785,24.903,"0",1
35,2011,0,0,1,1,2,27,1,103.091,-2.113,12.028,12,0,53.719,4.35,11.012,55,1,163.37,7.616,24.021,"0",1
35,2012,0,0,1,1,1,16,2,19.821,-5.73,10.862,11,2,1.405,3.796,13.052,46,2,221.85,7.129,26.055,"0",1
35,2013,0,0,1,1,2,20,4,70.182,-1.567,10.577,12,1,48.014,-2.162,11.069,44,3,276.567,2.402,26.041,"0",1
35,2014,0,0,1,1,1,28,1,349.89,3.458,11.581,14,0,46.657,4.973,12.266,45,1,125.264,6.671,25.507,"0",1
35,2015,0,0,1,1,2,22,0,103.447,0.292,12.57,11,1,59.424,4.642,11.973,59,3,203.873,6.782,24.993,"0",1
35,2016,0,0,1,0,0,45,0,74.896,1.384,12.95,8,0,44.908,3.633,10.012,36,1,140.173,5.065,24.728,"0",0
35,2017,0,1,1,0,0,25,2,74.906,-1.23,12.77,14,0,26.808,5.35,13.885,53,1,189.077,7.637,26.872,"M",0
35,2018,1,0,0,0,0,20,0,146.475,1.215,13.525,6,0,75.017,-3.664,12.491,57,0,292.784,4.109,24.61,"F",0
35,2019,0,0,1,1,1,24,4,82.335,1.102,11.684,16,0,7.046,5.288,11.971,53,3,131.237,6.826,31.455,"0",1
35,2020,0,0,1,1,2,29,0,102.058,3.477,14.517,10,0,36.848,4.364,13.784,64,0,186.888,4.093,24.538,"0",1
