"id","year","range_movement_prebreeding","range_movement_incubation","range_movement_rearing","prop_flight_prebreeding","prop_flight_incubation","prop_flight_rearing","straighness_trajectories_prebreeding","straighness_trajectories_incubation","straighness_trajectories_rearing","Territory","Sex","breeding_proba","hatching_success","productivity","fledging_success"
"2009_07_site16_M_TS1__H8 [FRP-BA11036]",2010,2151.804,1194.803,674.358,0.074,0.078,0.079,0.05,0.073,0.036,16,"M",1,1,2,1
"2014_13_site14_F_BOEA05-MIN17__P4 [FRP-BA11301]",2014,2385.84,1011.761,1217.737,0.194,0.143,0.269,0.24,0.133,0.046,14,"F",1,1,2,1
"2014_13_site35_M_BOEA09-MLS13__N4 [FRP-BA11330]",2015,1559.756,1324.137,1139.328,0.154,0.204,0.248,0.098,0.068,0.036,35,"M",1,1,2,1
"2014_30_site21_F_SKFR01-MIN04__K8 [FRP-BA11040]",2015,2775.237,3002.962,1752.394,0.121,0.066,0.237,0.252,0.204,0.053,21,"F",1,0,0,0
"2014_30_site21_F_SKFR01-MIN04__K8 [FRP-BA11040]",2016,3986.951,608.47,1457.267,0.093,0.143,0.179,0.348,0.056,0.123,21,"F",1,1,1,1
"2014_66_site31_M_SKFR05-MIN12__JX [FRP-BA11856]",2015,5064.122,3799.808,3744.492,0.204,0.218,0.212,0.276,0.022,0.164,31,"M",0,0,0,0
"2015_13_site13_M_SKFR09-MLR07__MH [FRP-BA11577]",2016,2169.714,1421.157,1981.545,0.126,0.221,0.23,0.148,0.033,0.056,13,"M",1,0,0,0
"2015_13_site36_F_SKFR10-MLR06__M9 [FRP-BA11578]",2016,2051.068,2722.041,1156.031,0.027,0.05,0.144,0.411,0.476,0.117,36,"F",0,0,0,0
"2015_13_site36_F_SKFR10-MLR06__M9 [FRP-BA11578]",2017,1210.979,2832.632,1514.895,0.02,0.094,0.118,0.209,0.272,0.116,36,"F",0,0,0,0
"2015_30_site20_F_612__MZ [FRP-BA11225]",2016,1132.898,578.231,992.083,0.173,0.204,0.353,0.153,0.049,0.021,20,"F",1,1,1,1
"2015_30_site20_F_612__MZ [FRP-BA11225]",2017,1333.744,1453.308,754.018,0.208,0.312,0.437,0.108,0.034,0.033,20,"F",1,0,0,0
"2015_30_site20_F_612__MZ [FRP-BA11225]",2018,1516.629,1167.899,577.83,0.218,0.272,0.247,0.1,0.096,0.019,20,"F",1,1,1,1
"2015_30_site20_F_612__MZ [FRP-BA11225]",2019,851.124,117.844,321.752,0.207,0.199,0.243,0.02,0.04,0.008,20,"F",1,1,2,1
"2016_13_site4_M_5398__Z2 [FRP-BA11202]",2017,1958.963,1438.998,1708.234,0.185,0.238,0.336,0.07,0.021,0.022,4,"M",1,1,2,1
"2016_13_site4_M_5398__Z2 [FRP-BA11202]",2019,1516.329,1324.139,1301.89,0.248,0.278,0.255,0.051,0.018,0.019,4,"M",1,1,2,1
"2016_13_site4_M_5398__Z2 [FRP-BA11202]",2020,1530.126,1384.231,1496.943,0.255,0.226,0.292,0.051,0.012,0.03,4,"M",1,1,2,1
"2016_13_site4_M_5398__Z2 [FRP-BA11202]",2021,2064.833,1809.754,2132.784,0.235,0.341,0.422,0.072,0.02,0.028,4,"M",1,1,0,0
"2016_13_site6_M_BOEA07-MLR10__MM [FRP-BA11579]",2016,1795.235,2047.412,1482.155,0.151,0.332,0.373,0.109,0.048,0.048,6,"M",1,1,2,1
"2016_13_site87_F_4813__TZ [FRP-BA11043]",2018,2533.829,1445.062,1984.284,0.119,0.148,0.21,0.177,0.112,0.108,87,"F",1,0,0,0
"2016_13_site87_F_4813__TZ [FRP-BA11043]",2019,2546.587,1352.015,2007.661,0.105,0.102,0.28,0.162,0.222,0.085,87,"F",1,1,0,0
"2016_13_site87_F_4813__TZ [FRP-BA11043]",2020,2649.039,2835.043,2053.911,0.11,0.132,0.24,0.267,0.265,0.123,87,"F",1,0,0,0
"2016_13_site87_F_4813__TZ [FRP-BA11043]",2021,2342.217,1039.437,1495.98,0.125,0.11,0.314,0.204,0.122,0.05,87,"F",1,1,1,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2017,1352.988,485.529,1092.584,0.085,0.104,0.217,0.214,0.064,0.091,27,"F",1,1,1,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2018,1451.205,284.933,839.061,0.108,0.057,0.222,0.141,0.031,0.014,27,"F",1,1,2,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2019,1983.632,288.062,1056.894,0.108,0.092,0.205,0.174,0.016,0.027,27,"F",1,1,1,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2020,2225.182,1074.66,620.391,0.107,0.086,0.187,0.138,0.093,0.043,27,"F",1,1,1,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2021,1494.862,191.385,807.354,0.168,0.115,0.249,0.105,0.037,0.026,27,"F",1,1,2,1
"2016_34_site27_F_4872__X3 [FRP-BA11591]",2022,1441.461,1036.035,644.121,0.113,0.092,0.248,0.129,0.103,0.041,27,"F",1,1,0,0
"2016_34_site33_F_4873_5W [ESI-1023513]",2017,931.154,89.94,302.597,0.083,0.044,0.163,0.151,0.051,0.037,33,"F",1,1,2,1
"2017_07_site15_M_5797__Z8 [FRP-BS14430]",2019,1343.349,604.901,600.603,0.244,0.313,0.273,0.104,0.022,0.036,15,"M",1,1,0,0
"2017_07_site15_M_5797__Z8 [FRP-BS14430]",2020,834.829,646.957,596.949,0.162,0.258,0.258,0.097,0.043,0.048,15,"M",1,1,1,1
"2017_07_site15_M_5797__Z8 [FRP-BS14430]",2021,711.375,667.634,594.41,0.203,0.265,0.272,0.028,0.024,0.03,15,"M",1,1,1,1
"2017_07_site15_M_5797__Z8 [FRP-BS14430]",2022,1583.927,677.208,827.123,0.208,0.257,0.287,0.081,0.034,0.037,15,"M",1,1,1,1
"2017_11_site29_M_461__X5 [FRP-BA11594]",2018,1760.471,1708.105,1238.51,0.166,0.152,0.208,0.131,0.099,0.021,29,"M",1,1,1,1
"2017_11_site29_M_461__X5 [FRP-BA11594]",2019,366.507,1076.216,1427.713,0.137,0.239,0.26,0.046,0.034,0.042,29,"M",1,1,1,1
"2017_11_site29_M_461__X5 [FRP-BA11594]",2020,1123.386,1452.781,1702.874,0.182,0.27,0.281,0.092,0.03,0.051,29,"M",1,1,1,1
"2017_11_site29_M_461__X5 [FRP-BA11594]",2021,1995.862,1210.014,2836.397,0.334,0.299,0.264,0.03,0.047,0.157,29,"M",0,0,0,0
"2017_13_site2_M_171103__T8 [FRP-BA11403]",2018,2295.075,2759.264,2372.896,0.241,0.34,0.374,0.089,0.042,0.021,2,"M",0,0,0,0
"2017_13_site2_M_171103__T8 [FRP-BA11403]",2019,1455.988,1861.759,1672.919,0.229,0.364,0.3,0.031,0.014,0.025,2,"M",1,1,2,1
"2017_13_site35_M_171104__ML [FRP-BA11327]",2018,2065.52,1883.539,2411.385,0.198,0.279,0.298,0.101,0.023,0.052,35,"M",0,0,0,0
"2017_13_site35_M_171104__ML [FRP-BA11327]",2019,1884.572,1878.655,1914.888,0.183,0.312,0.319,0.11,0.046,0.051,35,"M",1,1,1,1
"2017_13_site72_F_5397__XX [FRP-BA10753]",2019,2340.617,245.352,701.221,0.198,0.214,0.257,0.063,0.009,0.013,72,"F",1,1,2,1
"2017_13_site72_F_5397__XX [FRP-BA10753]",2020,1524.159,196.776,1588.454,0.13,0.172,0.303,0.076,0.04,0.029,72,"F",1,1,1,1
"2017_13_site72_F_5397__XX [FRP-BA10753]",2021,1568.692,107.252,279.482,0.09,0.082,0.163,0.077,0.029,0.013,72,"F",1,1,1,1
"2017_13_site72_F_5397__XX [FRP-BA10753]",2022,1069.877,238.509,784.001,0.108,0.085,0.238,0.04,0.015,0.015,72,"F",1,1,2,1
"2018 13 Site 8 F 171108 88 [FRP-BA11322]",2019,1535.06,148.161,796.068,0.1,0.348,0.178,0.082,0.004,0.018,8,"F",1,1,0,0
"2018 13 site10 M  171106  T6 [FRP-BA10758]",2020,2887.21,3577.179,2608.542,0.118,0.223,0.241,0.258,0.143,0.064,10,"M",1,1,2,1
"2018 13 site10 M  171106  T6 [FRP-BA10758]_2site",2021,878.026,1444.743,1225.15,0.086,0.21,0.206,0.142,0.09,0.056,92,"M",0,0,0,0
"2018 13 site10 M  171106  T6 [FRP-BA10758]_2site",2022,1009.585,1090.18,1240.19,0.107,0.17,0.192,0.137,0.047,0.088,92,"M",0,0,0,0
"2018 34 Site 86 M 182269 TO [FRP-BA11226]",2019,1978.891,2331.557,1859.611,0.185,0.242,0.258,0.102,0.082,0.041,86,"M",1,1,2,1
"2018 34 Site 86 M 182269 TO [FRP-BA11226]",2020,2475.701,3384.516,1844.546,0.145,0.243,0.253,0.154,0.086,0.059,86,"M",1,1,2,1
"2019 11 site28 M 182270 6W [FRP-BA11431]",2019,2359.217,2303.216,1791.779,0.244,0.277,0.291,0.07,0.055,0.031,28,"M",1,1,2,1
"2019 11 site28 M 182270 6W [FRP-BA11431]",2020,2954.106,3125.798,3409.655,0.296,0.325,0.187,0.059,0.047,0.091,28,"M",1,0,0,0
"2019 11 site28 M 182270 6W [FRP-BA11431]",2021,2220.015,2127.861,1741.144,0.256,0.293,0.301,0.077,0.044,0.024,28,"M",1,1,1,1
"2019 11 site28 M 182270 6W [FRP-BA11431]",2022,2173.347,2232.213,1918.575,0.235,0.273,0.279,0.083,0.029,0.026,28,"M",0,0,0,0
"2019 13 site75 M 191437 C4 [FRP-BA11273]",2020,2245.711,1944.383,998.14,0.142,0.229,0.26,0.19,0.03,0.011,75,"M",1,1,1,1
"2019 13 site75 M 191437 C4 [FRP-BA11273]",2021,2348.321,1054.003,1284.944,0.17,0.199,0.281,0.147,0.027,0.018,75,"M",1,1,2,1
"2019 13 site75 M 191437 C4 [FRP-BA11273]",2022,1602.603,1726.042,1381.844,0.177,0.194,0.261,0.128,0.035,0.027,75,"M",1,1,2,1
"2019 34 site 33 F 4873 [FRP-BA11319]",2020,624.823,36.486,1010.513,0.076,0.025,0.199,0.091,0.014,0.034,33,"F",1,1,2,1
"2020_07_site16_M_203421_V9 [FRP BA11455]",2021,579.093,835.517,981.413,0.142,0.317,0.358,0.065,0.022,0.014,16,"M",1,0,0,0
"2021 84 Site 77 M 214568 TV [FRP-BA11461]",2022,2574.307,3535.813,1889.818,0.18,0.33,0.37,0.128,0.045,0.046,77,"M",1,1,1,1
"2021 84 site 89 M 182883 1O [FRP-BA11317]",2022,1304.495,1053.478,761.037,0.168,0.283,0.331,0.129,0.043,0.024,89,"M",1,1,2,1
"2022 13 site 5 F 214567 VF [FRP-BA11596]",2022,3580.591,2266.361,283.236,0.33,0.271,0.179,0.066,0.075,0.023,5,"F",1,1,2,1
